name,city,size,description,year,img
3009 Distribution Facility,San Antonio TX,115000 SF,,Current,3009distributionfacility.jpg
Bess Street Boerne,Boerne TX,,,Current,bessstreetboerne.jpg
Blanco Garden Offices,San Antonio TX,40000 SF,,Current,blancogardenoffices.jpg
Galleria Industrial Park on IH-10,San Antonio TX,800000 SF,,Current,galleriaindustrialparkonih-10.jpg
Racetrack,San Antonio TX,124 acres,,Current,racetrack.jpg
Vance Jackson Office Park,San Antonio TX,60000 SF,,Current,vancejacksonofficepark.jpg
Westover Hills Apartments,San Antonio TX,,,Current,westoverhillsapartments.jpg
Flex Space @ Uni Oaks,San Antonio TX,40000 SF,,2017,flexspace@unioaks.jpg
Cornerstone Industrial Park,San Antonio TX,56.55 acres,,2017,cornerstoneindustrialpark.jpg
Houston Town Homes,Houston TX,,,2015,houstontownhomes.jpg
The Plaza at UTSA,San Antonio TX,,,2015,theplazaatutsa.jpg
Vista Corporate Center,San Antonio TX,157000 SF,,2015,vistacorporatecenter.jpg
University Oaks and Loop 1604,San Antonio TX,70 acres,,2010,universityoaksandloop1604.jpg
One Village Place,Northstar CA,,,2010,onevillageplace.jpg
CVS Pharmacy,San Antonio TX,14.8 acres,,2008,cvspharmacy.jpg
Las Plazas II,San Antonio TX,,,2004,lasplazasii.jpg
Las Plazas I,San Antonio TX,45000 SF,,2003,lasplazasi.jpg
Sonterra I,San Antonio TX,,,1997,sonterrai.jpg
Canyon Springs,San Antonio TX,23 acres,,,canyonsprings.jpg
Las Vistas,San Antonio TX,,,,lasvistas.jpg
Timberwood Park,San Antonio TX,51 acres,,,timberwoodpark.jpg
Cornerstone Warehouse Development,San Antonio TX,208000 SF + 73500 SF Support Warehouse,,,cornerstonewarehousedevelopmentt.jpg
Cornerstone FedEx,San Antonio TX,,,,cornerstonefedex.jpg
